time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
117.921001,869098.842000,869096.142000,289698.606000,289698.480000,72424.548000,1.331639,8.768311
117.922001,869118.210000,869115.492000,289705.050000,289704.942000,72426.150000,1.739842,9.001465
117.923001,869137.578000,869134.842000,289711.476000,289711.368000,72427.770000,1.561620,9.314270
117.924001,869156.946000,869154.138000,289717.902000,289717.812000,72429.372000,1.938329,9.125671
117.925001,869176.296000,869173.452000,289724.328000,289724.238000,72430.992000,1.657689,8.864136
117.926001,869195.646000,869192.730000,289730.736000,289730.664000,72432.594000,1.380955,8.442688
117.927001,869215.014000,869211.972000,289737.162000,289737.090000,72434.214000,1.931981,7.651062
117.928001,869234.346000,869231.268000,289743.588000,289743.516000,72435.816000,1.680394,7.057495
117.929001,869253.714000,869250.564000,289750.032000,289749.960000,72437.436000,2.007787,6.671143
117.930001,869273.064000,869269.878000,289756.476000,289756.386000,72439.038000,2.024266,6.668091
117.931001,869292.414000,869289.228000,289762.920000,289762.830000,72440.640000,1.905370,7.239380
117.932001,869311.764000,869308.596000,289769.382000,289769.292000,72442.260000,1.918065,7.038269
117.933001,869331.132000,869327.982000,289775.862000,289775.772000,72443.862000,1.887669,8.031006
117.934001,869350.482000,869347.386000,289782.324000,289782.234000,72445.482000,1.762547,8.072510
117.935001,869369.850000,869366.790000,289788.804000,289788.696000,72447.102000,1.974950,7.890625
117.936001,869389.218000,869386.212000,289795.284000,289795.176000,72448.704000,1.880101,8.228760
117.937001,869408.586000,869405.616000,289801.764000,289801.638000,72450.324000,2.019139,8.436279
117.938001,869427.954000,869425.038000,289808.244000,289808.118000,72451.944000,1.669041,8.733215
117.939001,869447.322000,869444.424000,289814.688000,289814.562000,72453.564000,1.900365,8.857727
117.940001,869466.672000,869463.828000,289821.150000,289821.042000,72455.166000,1.526219,8.880005
117.941001,869486.040000,869483.160000,289827.594000,289827.486000,72456.786000,1.962254,8.972473
117.942001,869505.390000,869502.528000,289834.038000,289833.912000,72458.406000,1.825780,8.522644
117.943001,869524.758000,869521.914000,289840.482000,289840.374000,72460.026000,1.452977,8.222351
117.944001,869544.108000,869541.192000,289846.926000,289846.818000,72461.646000,1.983739,7.612915
117.945001,869563.458000,869560.542000,289853.370000,289853.280000,72463.266000,1.754979,6.894531
117.946001,869582.826000,869579.892000,289859.814000,289859.742000,72464.886000,1.690526,6.495667
117.947001,869602.176000,869599.260000,289866.276000,289866.186000,72466.524000,1.952122,5.273132
117.948001,869621.544000,869618.646000,289872.738000,289872.666000,72468.144000,1.605931,5.017700
117.949001,869640.912000,869638.032000,289879.218000,289879.128000,72469.764000,1.838475,5.289001
117.950001,869660.280000,869657.472000,289885.680000,289885.608000,72471.384000,1.637425,5.030518
117.951001,869679.648000,869676.912000,289892.178000,289892.106000,72473.004000,1.657689,5.056152
