time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
150.898001,1507686.966000,1507683.888000,502561.188000,502561.044000,125640.162000,2.160741,9.199219
150.899001,1507706.316000,1507703.274000,502567.632000,502567.506000,125641.764000,1.676610,9.550476
150.900001,1507725.684000,1507722.606000,502574.076000,502573.950000,125643.384000,2.033055,9.875793
150.901001,1507745.052000,1507741.938000,502580.520000,502580.376000,125644.986000,1.722142,10.022888
150.902001,1507764.402000,1507761.234000,502586.946000,502586.802000,125646.606000,1.905370,10.166321
150.903001,1507783.752000,1507780.548000,502593.372000,502593.246000,125648.226000,2.011571,10.000305
150.904001,1507803.102000,1507799.862000,502599.798000,502599.672000,125649.846000,2.068455,9.515381
150.905001,1507822.434000,1507819.140000,502606.224000,502606.116000,125651.466000,2.112645,8.895874
150.906001,1507841.784000,1507838.472000,502612.668000,502612.560000,125653.086000,1.981297,8.381958
150.907001,1507861.134000,1507857.822000,502619.112000,502619.004000,125654.688000,1.851048,8.251343
150.908001,1507880.484000,1507877.172000,502625.574000,502625.466000,125656.326000,2.397069,7.539368
150.909001,1507899.834000,1507896.576000,502632.036000,502631.928000,125657.946000,1.775243,6.840515
150.910001,1507919.202000,1507915.980000,502638.516000,502638.408000,125659.566000,2.015355,6.862793
150.911001,1507938.570000,1507935.438000,502644.996000,502644.906000,125661.204000,1.805516,6.581726
150.912001,1507957.938000,1507954.914000,502651.494000,502651.404000,125662.824000,1.780247,6.262512
150.913001,1507977.306000,1507974.372000,502658.010000,502657.920000,125664.444000,2.078587,6.690369
150.914001,1507996.692000,1507993.920000,502664.526000,502664.436000,125666.082000,1.233006,7.437134
150.915001,1508016.060000,1508013.414000,502671.042000,502670.934000,125667.702000,1.861180,7.788391
150.916001,1508035.446000,1508032.908000,502677.558000,502677.432000,125669.322000,1.765111,8.133240
150.917001,1508054.832000,1508052.384000,502684.038000,502683.930000,125670.942000,1.523778,8.375854
150.918001,1508074.218000,1508071.842000,502690.518000,502690.410000,125672.562000,1.511082,8.902283
150.919001,1508093.586000,1508091.228000,502696.998000,502696.872000,125674.182000,1.535130,8.947144
150.920001,1508112.954000,1508110.578000,502703.442000,502703.334000,125675.784000,1.506078,8.784180
