time,motor setpoint,motor real,propeller setpoint,propeller real
150.533152,0.000000,2.641800,0.119000,0.095200
150.534152,0.000000,2.832200,0.119000,0.095200
150.535150,0.000000,2.689400,0.119000,0.142800
150.536152,0.000000,2.594200,0.119000,0.119000
150.537154,0.000000,2.665600,0.119000,0.130900
150.538153,0.000000,2.451400,0.119000,0.154700
150.539163,0.000000,2.451400,0.119000,0.071400
150.540165,0.000000,2.570400,0.119000,0.083300
150.541157,0.000000,2.439500,0.119000,0.095200
150.542154,0.000000,2.451400,0.119000,0.107100
150.543152,0.000000,2.403800,0.119000,0.130900
150.544153,0.000000,2.618000,0.119000,0.178500
150.545152,0.000000,2.582300,0.119000,0.142800
150.546152,0.000000,2.653700,0.119000,0.107100
150.547154,0.000000,2.784600,0.119000,0.119000
150.548157,0.000000,2.629900,0.119000,0.107100
150.549157,0.000000,2.606100,0.119000,0.130900
150.550158,0.000000,2.748900,0.119000,0.190400
150.551158,0.000000,2.784600,0.119000,0.154700
150.552158,0.000000,2.653700,0.119000,0.154700
150.553157,0.000000,2.832200,0.119000,0.130900
150.554157,0.000000,2.975000,0.119000,0.107100
150.555158,0.000000,2.618000,0.119000,0.095200
150.556157,0.000000,2.665600,0.119000,0.119000
150.557155,0.000000,2.844100,0.119000,0.142800
150.558159,0.000000,2.677500,0.119000,0.119000
150.559162,0.000000,2.522800,0.119000,0.095200
150.560163,0.000000,2.677500,0.119000,0.130900
150.561166,0.000000,2.725100,0.119000,0.119000
150.562162,0.000000,2.510900,0.119000,0.107100
150.563161,0.000000,2.606100,0.119000,0.178500
150.564158,0.000000,2.856000,0.119000,0.119000
150.565159,0.000000,2.689400,0.119000,0.119000
150.566157,0.000000,2.677500,0.119000,0.154700
150.567157,0.000000,2.820300,0.119000,0.107100
150.568157,0.000000,2.748900,0.119000,0.130900
150.569157,0.000000,2.677500,0.119000,0.166600
150.570155,0.000000,2.856000,0.119000,0.119000
150.571159,0.000000,2.856000,0.119000,0.119000
150.572159,0.000000,2.760800,0.119000,0.119000
150.573159,0.000000,2.832200,0.119000,0.130900
150.574158,0.000000,2.820300,0.119000,0.130900
150.575158,0.000000,2.677500,0.119000,0.142800
150.576155,0.000000,2.713200,0.119000,0.095200
150.577164,0.000000,2.820300,0.119000,0.107100
150.578158,0.000000,2.606100,0.119000,0.119000
150.579154,0.000000,2.594200,0.119000,0.107100
150.580160,0.000000,2.606100,0.119000,0.154700
150.581159,0.000000,2.677500,0.119000,0.130900
150.582156,0.000000,2.689400,0.119000,0.095200
150.583159,0.000000,2.689400,0.119000,0.119000
150.584158,0.000000,2.856000,0.119000,0.071400
150.585158,0.000000,2.618000,0.119000,0.119000
150.586157,0.000000,2.618000,0.119000,0.178500
150.587158,0.000000,2.867900,0.119000,0.142800
150.588162,0.000000,2.701300,0.119000,0.095200
150.589161,0.000000,2.546600,0.119000,0.095200
150.590158,0.000000,2.713200,0.119000,0.107100
150.591170,0.000000,2.737000,0.119000,0.130900
150.592171,0.000000,2.618000,0.119000,0.142800
150.593172,0.000000,2.737000,0.119000,0.095200
150.594174,0.000000,2.522800,0.119000,0.107100
150.595174,0.000000,2.558500,0.119000,0.107100
150.596172,0.000000,2.594200,0.119000,0.107100
150.597173,0.000000,2.463300,0.119000,0.095200
150.598174,0.000000,2.522800,0.119000,0.154700
150.599172,0.000000,2.606100,0.119000,0.142800
150.600172,0.000000,2.618000,0.119000,0.130900
150.601173,0.000000,2.653700,0.119000,0.083300
150.602174,0.000000,2.713200,0.119000,0.107100
150.603175,0.000000,2.713200,0.119000,0.107100
150.604171,0.000000,2.772700,0.119000,0.154700
150.605171,0.000000,2.713200,0.119000,0.083300
150.606170,0.000000,2.927400,0.119000,0.107100
150.607164,0.000000,2.748900,0.119000,0.166600
150.608171,0.000000,2.737000,0.119000,0.107100
150.609171,0.000000,2.867900,0.119000,0.107100
150.610172,0.000000,2.737000,0.119000,0.154700
150.611170,0.000000,2.737000,0.119000,0.095200
150.612171,0.000000,2.772700,0.119000,0.083300
150.613170,0.000000,2.832200,0.119000,0.083300
150.614171,0.000000,2.499000,0.119000,0.142800
150.615171,0.000000,2.499000,0.119000,0.142800
150.616172,0.000000,2.677500,0.119000,0.142800
150.617171,0.000000,2.677500,0.119000,0.083300
150.618170,0.000000,2.594200,0.119000,0.071400
150.619173,0.000000,2.784600,0.119000,0.107100
150.620172,0.000000,2.689400,0.119000,0.095200
150.621173,0.000000,2.594200,0.119000,0.142800
150.622171,0.000000,2.677500,0.119000,0.142800
150.623171,0.000000,2.879800,0.119000,0.130900
150.624172,0.000000,2.689400,0.119000,0.130900
150.625175,0.000000,2.665600,0.119000,0.095200
150.626171,0.000000,2.891700,0.119000,0.095200
150.627170,0.000000,2.748900,0.119000,0.154700
150.628170,0.000000,2.725100,0.119000,0.154700
150.629170,0.000000,2.796500,0.119000,0.154700
150.630167,0.000000,2.796500,0.119000,0.154700
150.631167,0.000000,2.748900,0.119000,0.107100
150.632162,0.000000,2.641800,0.119000,0.107100
150.633166,0.000000,2.748900,0.119000,0.142800
150.634164,0.000000,2.725100,0.119000,0.130900
150.635162,0.000000,2.546600,0.119000,0.142800
150.636159,0.000000,2.867900,0.119000,0.095200
150.637157,0.000000,2.867900,0.119000,0.095200
150.638157,0.000000,2.772700,0.119000,0.107100
150.639156,0.000000,2.820300,0.119000,0.095200
150.640157,0.000000,2.844100,0.119000,0.095200
150.641164,0.000000,2.748900,0.119000,0.130900
150.642166,0.000000,2.832200,0.119000,0.130900
150.643172,0.000000,2.891700,0.119000,0.130900
150.644171,0.000000,2.891700,0.119000,0.130900
150.645168,0.000000,2.820300,0.119000,0.095200
150.646170,0.000000,2.927400,0.119000,0.154700
150.647171,0.000000,2.796500,0.119000,0.107100
150.648169,0.000000,2.701300,0.119000,0.095200
150.649172,0.000000,2.808400,0.119000,0.119000
150.650171,0.000000,2.713200,0.119000,0.107100
150.651171,0.000000,2.451400,0.119000,0.107100
150.652171,0.000000,2.510900,0.119000,0.119000
150.653170,0.000000,2.784600,0.119000,0.119000
150.654169,0.000000,2.558500,0.119000,0.107100
150.655171,0.000000,2.546600,0.119000,0.107100
150.656171,0.000000,2.546600,0.119000,0.107100
150.657162,0.000000,2.796500,0.119000,0.119000
150.658170,0.000000,2.558500,0.119000,0.142800
150.659171,0.000000,2.796500,0.119000,0.142800
150.660172,0.000000,2.760800,0.119000,0.119000
150.661171,0.000000,2.665600,0.119000,0.071400
150.662171,0.000000,2.689400,0.119000,0.095200
150.663172,0.000000,2.867900,0.119000,0.130900
150.664171,0.000000,2.653700,0.119000,0.095200
150.665171,0.000000,2.713200,0.119000,0.166600
150.666173,0.000000,2.748900,0.119000,0.142800
150.667170,0.000000,2.748900,0.119000,0.142800
150.668172,0.000000,2.534700,0.119000,0.130900
150.669173,0.000000,2.677500,0.119000,0.095200
150.670173,0.000000,2.439500,0.119000,0.119000
150.671170,0.000000,2.463300,0.119000,0.178500
150.672167,0.000000,2.487100,0.119000,0.130900
150.673165,0.000000,2.629900,0.119000,0.095200
150.674165,0.000000,2.522800,0.119000,0.107100
150.675164,0.000000,2.522800,0.119000,0.107100
150.676163,0.000000,2.701300,0.119000,0.107100
150.677165,0.000000,2.618000,0.119000,0.154700
150.678162,0.000000,2.618000,0.119000,0.154700
150.679160,0.000000,2.844100,0.119000,0.119000
150.680161,0.000000,2.713200,0.119000,0.107100
150.681161,0.000000,2.713200,0.119000,0.107100
150.682165,0.000000,2.677500,0.119000,0.119000
150.683160,0.000000,2.677500,0.119000,0.119000
150.684158,0.000000,2.975000,0.119000,0.178500
150.685157,0.000000,2.867900,0.119000,0.107100
150.686158,0.000000,2.737000,0.119000,0.130900
150.687157,0.000000,2.951200,0.119000,0.083300
150.688166,0.000000,2.701300,0.119000,0.130900
150.689163,0.000000,2.832200,0.119000,0.107100
