time,motor setpoint,motor real,propeller setpoint,propeller real
187.454157,0.000000,2.820300,0.595000,0.583100
187.455157,0.000000,2.879800,0.595000,0.571200
187.456156,0.000000,3.022600,0.595000,0.642600
187.457164,0.000000,2.796500,0.595000,0.571200
187.458171,0.000000,2.879800,0.595000,0.606900
187.459171,0.000000,2.760800,0.595000,0.583100
187.460172,0.000000,2.725100,0.595000,0.606900
187.461172,0.000000,2.665600,0.595000,0.606900
187.462172,0.000000,2.832200,0.595000,0.535500
187.463170,0.000000,2.796500,0.595000,0.571200
187.464172,0.000000,2.725100,0.595000,0.583100
187.465170,0.000000,2.998800,0.595000,0.571200
187.466171,0.000000,2.915500,0.595000,0.595000
187.467170,0.000000,2.772700,0.595000,0.642600
187.468170,0.000000,2.915500,0.595000,0.559300
187.469171,0.000000,2.963100,0.595000,0.583100
187.470171,0.000000,2.844100,0.595000,0.583100
187.471171,0.000000,2.915500,0.595000,0.583100
187.472172,0.000000,2.891700,0.595000,0.654500
187.473172,0.000000,2.867900,0.595000,0.606900
187.474172,0.000000,2.856000,0.595000,0.547400
187.475172,0.000000,3.022600,0.595000,0.571200
187.476171,0.000000,2.808400,0.595000,0.583100
187.477171,0.000000,2.796500,0.595000,0.595000
187.478170,0.000000,2.832200,0.595000,0.630700
187.479173,0.000000,2.629900,0.595000,0.595000
187.480170,0.000000,2.629900,0.595000,0.595000
187.481165,0.000000,2.594200,0.595000,0.583100
187.482171,0.000000,2.808400,0.595000,0.559300
187.483173,0.000000,2.903600,0.595000,0.583100
187.484173,0.000000,2.856000,0.595000,0.618800
187.485173,0.000000,2.963100,0.595000,0.642600
187.486172,0.000000,2.796500,0.595000,0.583100
187.487170,0.000000,2.879800,0.595000,0.571200
187.488171,0.000000,3.082100,0.595000,0.583100
187.489172,0.000000,2.915500,0.595000,0.606900
187.490172,0.000000,2.748900,0.595000,0.571200
187.491172,0.000000,2.915500,0.595000,0.642600
187.492171,0.000000,3.070200,0.595000,0.583100
187.493172,0.000000,2.939300,0.595000,0.606900
187.494172,0.000000,2.915500,0.595000,0.559300
187.495172,0.000000,2.915500,0.595000,0.559300
187.496171,0.000000,2.856000,0.595000,0.595000
187.497172,0.000000,2.856000,0.595000,0.630700
187.498170,0.000000,2.856000,0.595000,0.630700
187.499173,0.000000,2.975000,0.595000,0.595000
187.500169,0.000000,2.975000,0.595000,0.583100
187.501173,0.000000,2.867900,0.595000,0.606900
187.502173,0.000000,3.189200,0.595000,0.559300
187.503172,0.000000,3.189200,0.595000,0.559300
187.504171,0.000000,2.939300,0.595000,0.630700
187.505171,0.000000,3.201100,0.595000,0.559300
187.506171,0.000000,3.082100,0.595000,0.583100
187.507174,0.000000,3.034500,0.595000,0.606900
187.508170,0.000000,3.141600,0.595000,0.606900
187.509170,0.000000,2.927400,0.595000,0.654500
187.510172,0.000000,2.879800,0.595000,0.630700
187.511172,0.000000,3.058300,0.595000,0.583100
187.512166,0.000000,3.117800,0.595000,0.583100
187.513163,0.000000,2.808400,0.595000,0.595000
187.514172,0.000000,2.808400,0.595000,0.618800
187.515171,0.000000,2.986900,0.595000,0.606900
187.516172,0.000000,2.689400,0.595000,0.618800
187.517172,0.000000,2.653700,0.595000,0.606900
187.518171,0.000000,2.939300,0.595000,0.559300
187.519172,0.000000,2.856000,0.595000,0.583100
187.520171,0.000000,2.618000,0.595000,0.595000
187.521172,0.000000,2.784600,0.595000,0.606900
187.522171,0.000000,2.879800,0.595000,0.654500
187.523170,0.000000,2.725100,0.595000,0.606900
187.524167,0.000000,2.808400,0.595000,0.571200
187.525171,0.000000,3.094000,0.595000,0.606900
187.526170,0.000000,2.808400,0.595000,0.595000
187.527171,0.000000,2.689400,0.595000,0.618800
187.528170,0.000000,2.879800,0.595000,0.618800
187.529169,0.000000,2.820300,0.595000,0.559300
187.530170,0.000000,2.856000,0.595000,0.571200
187.531171,0.000000,2.832200,0.595000,0.583100
187.532172,0.000000,2.963100,0.595000,0.571200
187.533172,0.000000,2.725100,0.595000,0.571200
187.534172,0.000000,2.713200,0.595000,0.642600
187.535171,0.000000,2.856000,0.595000,0.595000
187.536172,0.000000,2.772700,0.595000,0.606900
187.537173,0.000000,2.772700,0.595000,0.595000
187.538171,0.000000,2.927400,0.595000,0.571200
187.539173,0.000000,2.891700,0.595000,0.630700
187.540171,0.000000,2.879800,0.595000,0.642600
187.541172,0.000000,2.879800,0.595000,0.642600
187.542171,0.000000,2.879800,0.595000,0.571200
187.543171,0.000000,2.963100,0.595000,0.559300
187.544170,0.000000,3.010700,0.595000,0.583100
187.545172,0.000000,3.010700,0.595000,0.583100
187.546170,0.000000,2.879800,0.595000,0.583100
187.547171,0.000000,2.867900,0.595000,0.583100
187.548170,0.000000,3.236800,0.595000,0.606900
187.549171,0.000000,3.141600,0.595000,0.583100
187.550171,0.000000,2.903600,0.595000,0.595000
187.551174,0.000000,2.903600,0.595000,0.595000
187.552170,0.000000,3.034500,0.595000,0.606900
187.553171,0.000000,2.844100,0.595000,0.571200
187.554172,0.000000,2.891700,0.595000,0.547400
187.555172,0.000000,3.153500,0.595000,0.571200
187.556170,0.000000,3.046400,0.595000,0.618800
187.557166,0.000000,3.046400,0.595000,0.618800
187.558160,0.000000,2.879800,0.595000,0.571200
187.559159,0.000000,3.046400,0.595000,0.642600
187.560158,0.000000,3.058300,0.595000,0.595000
187.561161,0.000000,2.963100,0.595000,0.583100
187.562157,0.000000,2.975000,0.595000,0.571200
187.563156,0.000000,3.117800,0.595000,0.595000
187.564165,0.000000,2.867900,0.595000,0.642600
187.565169,0.000000,2.927400,0.595000,0.606900
187.566173,0.000000,2.951200,0.595000,0.583100
187.567171,0.000000,2.879800,0.595000,0.583100
187.568170,0.000000,3.034500,0.595000,0.535500
187.569170,0.000000,2.867900,0.595000,0.583100
187.570170,0.000000,2.748900,0.595000,0.618800
187.571169,0.000000,2.665600,0.595000,0.618800
187.572171,0.000000,2.713200,0.595000,0.583100
187.573169,0.000000,2.689400,0.595000,0.595000
187.574170,0.000000,2.725100,0.595000,0.571200
187.575170,0.000000,2.963100,0.595000,0.571200
187.576173,0.000000,2.737000,0.595000,0.618800
187.577171,0.000000,2.748900,0.595000,0.618800
187.578171,0.000000,2.879800,0.595000,0.618800
187.579171,0.000000,2.915500,0.595000,0.571200
187.580172,0.000000,2.867900,0.595000,0.571200
187.581172,0.000000,2.915500,0.595000,0.618800
187.582166,0.000000,2.951200,0.595000,0.583100
187.583171,0.000000,2.737000,0.595000,0.595000
187.584170,0.000000,2.832200,0.595000,0.630700
187.585166,0.000000,3.105900,0.595000,0.559300
187.586170,0.000000,2.939300,0.595000,0.595000
187.587170,0.000000,2.808400,0.595000,0.583100
187.588171,0.000000,2.939300,0.595000,0.559300
187.589173,0.000000,2.760800,0.595000,0.666400
187.590169,0.000000,2.701300,0.595000,0.606900
187.591170,0.000000,2.808400,0.595000,0.595000
187.592171,0.000000,2.927400,0.595000,0.595000
187.593170,0.000000,2.772700,0.595000,0.595000
187.594172,0.000000,2.832200,0.595000,0.583100
187.595171,0.000000,3.022600,0.595000,0.654500
187.596170,0.000000,2.867900,0.595000,0.559300
187.597170,0.000000,2.939300,0.595000,0.559300
187.598171,0.000000,3.046400,0.595000,0.606900
187.599171,0.000000,2.891700,0.595000,0.571200
187.600172,0.000000,2.879800,0.595000,0.642600
187.601171,0.000000,2.927400,0.595000,0.642600
187.602171,0.000000,2.891700,0.595000,0.547400
187.603171,0.000000,2.963100,0.595000,0.559300
187.604170,0.000000,3.034500,0.595000,0.559300
187.605173,0.000000,3.034500,0.595000,0.595000
187.606170,0.000000,2.915500,0.595000,0.642600
187.607165,0.000000,2.832200,0.595000,0.630700
187.608174,0.000000,2.832200,0.595000,0.630700
187.609171,0.000000,2.975000,0.595000,0.559300
187.610172,0.000000,2.867900,0.595000,0.559300
187.611172,0.000000,2.975000,0.595000,0.583100
187.612172,0.000000,3.070200,0.595000,0.642600
187.613170,0.000000,2.820300,0.595000,0.606900
187.614172,0.000000,2.856000,0.595000,0.618800
187.615171,0.000000,3.105900,0.595000,0.583100
187.616170,0.000000,3.022600,0.595000,0.571200
187.617173,0.000000,2.891700,0.595000,0.595000
187.618171,0.000000,3.082100,0.595000,0.595000
187.619172,0.000000,2.903600,0.595000,0.618800
187.620167,0.000000,2.903600,0.595000,0.618800
187.621172,0.000000,2.867900,0.595000,0.571200
187.622171,0.000000,2.975000,0.595000,0.595000
187.623173,0.000000,2.891700,0.595000,0.630700
187.624167,0.000000,2.796500,0.595000,0.559300
187.625170,0.000000,2.867900,0.595000,0.583100
187.626171,0.000000,2.689400,0.595000,0.559300
187.627171,0.000000,2.653700,0.595000,0.571200
187.628170,0.000000,2.867900,0.595000,0.595000
187.629173,0.000000,2.784600,0.595000,0.606900
187.630172,0.000000,2.784600,0.595000,0.606900
