time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
187.648001,2219337.324000,2219334.102000,739777.896000,739777.734000,184944.294000,2.141698,13.492432
187.649001,2219356.692000,2219353.524000,739784.376000,739784.196000,184945.914000,2.036839,13.706360
187.650001,2219376.060000,2219372.910000,739790.838000,739790.658000,184947.516000,1.897801,13.945618
187.651001,2219395.410000,2219392.224000,739797.282000,739797.102000,184949.118000,2.199925,14.373474
187.652001,2219414.778000,2219411.538000,739803.708000,739803.528000,184950.738000,1.858617,14.389343
187.653001,2219434.110000,2219430.798000,739810.134000,739809.954000,184952.358000,2.012791,14.568176
187.654001,2219453.460000,2219450.004000,739816.542000,739816.380000,184953.960000,2.121556,13.763733
187.655001,2219472.810000,2219469.228000,739822.932000,739822.788000,184955.580000,2.221410,12.742310
187.656001,2219492.142000,2219488.488000,739829.340000,739829.178000,184957.182000,2.319920,12.304993
187.657001,2219511.492000,2219507.748000,739835.748000,739835.604000,184958.802000,2.194798,10.693054
187.658001,2219530.842000,2219527.008000,739842.174000,739842.048000,184960.422000,2.308568,10.600586
187.659001,2219550.192000,2219546.340000,739848.618000,739848.474000,184962.042000,2.399632,9.866333
187.660001,2219569.542000,2219565.726000,739855.062000,739854.936000,184963.662000,2.216283,9.192810
187.661001,2219588.910000,2219585.130000,739861.542000,739861.398000,184965.264000,2.517064,10.089722
187.662001,2219608.278000,2219604.588000,739868.022000,739867.878000,184966.884000,2.048192,9.888611
187.663001,2219627.646000,2219624.064000,739874.520000,739874.376000,184968.504000,2.279515,10.699463
187.664001,2219647.032000,2219643.576000,739881.018000,739880.874000,184970.124000,2.078587,11.491089
187.665001,2219666.418000,2219663.088000,739887.534000,739887.390000,184971.744000,2.237767,11.829529
187.666001,2219685.786000,2219682.618000,739894.050000,739893.888000,184973.364000,1.693089,13.138123
187.667001,2219705.154000,2219702.076000,739900.566000,739900.386000,184974.984000,1.752538,13.323364
187.668001,2219724.540000,2219721.516000,739907.046000,739906.866000,184976.604000,2.309788,13.584900
187.669001,2219743.908000,2219740.938000,739913.526000,739913.346000,184978.224000,1.562962,13.770142
187.670001,2219763.276000,2219760.288000,739919.988000,739919.808000,184979.844000,1.964818,13.929749
187.671001,2219782.644000,2219779.620000,739926.414000,739926.252000,184981.464000,1.891576,13.977661
187.672001,2219801.994000,2219798.880000,739932.840000,739932.678000,184983.066000,2.012791,13.808289
187.673001,2219821.344000,2219818.158000,739939.248000,739939.104000,184984.686000,1.672826,13.064575
187.674001,2219840.694000,2219837.382000,739945.656000,739945.530000,184986.306000,2.077245,12.697449
187.675001,2219860.044000,2219856.624000,739952.064000,739951.920000,184987.908000,1.983739,11.800537
187.676001,2219879.412000,2219875.848000,739958.454000,739958.328000,184989.528000,2.327489,10.354614
187.677001,2219898.744000,2219895.144000,739964.862000,739964.754000,184991.130000,2.045750,10.600586
187.678001,2219918.112000,2219914.422000,739971.288000,739971.180000,184992.750000,2.135472,9.764099
187.679001,2219937.462000,2219933.718000,739977.732000,739977.642000,184994.370000,2.203709,9.298096
187.680001,2219956.830000,2219953.086000,739984.194000,739984.086000,184995.990000,2.180882,8.359680
187.681001,2219976.198000,2219972.508000,739990.656000,739990.566000,184997.592000,2.330052,8.066101
187.682001,2219995.584000,2219991.984000,739997.154000,739997.046000,184999.212000,2.097508,9.703674
187.683001,2220014.952000,2220011.460000,740003.652000,740003.508000,185000.814000,2.300999,9.850464
187.684001,2220034.338000,2220030.972000,740010.168000,740010.024000,185002.434000,1.907933,10.654907
187.685001,2220053.724000,2220050.466000,740016.666000,740016.558000,185004.054000,2.103856,12.234802
187.686001,2220073.110000,2220069.996000,740023.182000,740023.056000,185005.674000,1.738621,12.557068
187.687001,2220092.514000,2220089.454000,740029.698000,740029.536000,185007.294000,1.987523,12.585754
187.688001,2220111.882000,2220108.912000,740036.178000,740036.034000,185008.896000,1.910496,12.937012
187.689001,2220131.268000,2220128.316000,740042.658000,740042.496000,185010.516000,2.146825,13.205261
187.690001,2220150.636000,2220147.666000,740049.102000,740048.958000,185012.136000,1.866185,13.367920
187.691001,2220170.004000,2220166.980000,740055.546000,740055.402000,185013.756000,2.084935,12.783813
187.692001,2220189.354000,2220186.312000,740061.972000,740061.864000,185015.358000,1.531346,12.135925
187.693001,2220208.722000,2220205.572000,740068.380000,740068.272000,185016.978000,2.182225,12.314453
187.694001,2220228.090000,2220224.868000,740074.806000,740074.680000,185018.580000,1.652684,10.855713
187.695001,2220247.440000,2220244.146000,740081.196000,740081.106000,185020.182000,1.758763,9.812012
187.696001,2220266.808000,2220263.406000,740087.640000,740087.532000,185021.802000,2.418553,9.540710
187.697001,2220286.176000,2220282.702000,740094.048000,740093.976000,185023.422000,2.332616,8.407593
187.698001,2220305.526000,2220302.034000,740100.510000,740100.402000,185025.024000,2.116429,8.927917
187.699001,2220324.894000,2220321.420000,740106.954000,740106.864000,185026.626000,2.045750,9.483337
187.700001,2220344.262000,2220340.824000,740113.434000,740113.326000,185028.228000,1.538914,10.393066
187.701001,2220363.648000,2220360.210000,740119.914000,740119.770000,185029.830000,2.440037,11.376038
187.702001,2220383.034000,2220379.614000,740126.376000,740126.232000,185031.450000,2.268162,11.076050
187.703001,2220402.384000,2220399.036000,740132.856000,740132.712000,185033.052000,2.182225,12.327271
187.704001,2220421.752000,2220418.440000,740139.336000,740139.156000,185034.654000,1.905370,12.764587
187.705001,2220441.120000,2220437.826000,740145.798000,740145.618000,185036.256000,1.978734,13.173218
187.706001,2220460.488000,2220457.158000,740152.260000,740152.062000,185037.858000,2.059666,13.661499
187.707001,2220479.838000,2220476.472000,740158.686000,740158.506000,185039.478000,1.918065,14.070129
187.708001,2220499.206000,2220495.732000,740165.112000,740164.914000,185041.080000,2.355321,14.239197
187.709001,2220518.538000,2220514.992000,740171.520000,740171.340000,185042.700000,2.165746,14.153137
187.710001,2220537.888000,2220534.234000,740177.928000,740177.766000,185044.302000,2.223851,14.143677
187.711001,2220557.220000,2220553.476000,740184.336000,740184.174000,185045.922000,2.028050,13.549805
187.712001,2220576.570000,2220572.736000,740190.744000,740190.600000,185047.524000,2.192357,12.720032
187.713001,2220595.920000,2220592.032000,740197.170000,740197.026000,185049.144000,1.936986,11.414490
187.714001,2220615.270000,2220611.310000,740203.596000,740203.470000,185050.764000,2.834325,11.366577
187.715001,2220634.620000,2220630.678000,740210.040000,740209.896000,185052.384000,2.178441,10.983582
187.716001,2220653.970000,2220650.046000,740216.502000,740216.376000,185054.004000,2.682713,10.507812
187.717001,2220673.338000,2220669.522000,740222.982000,740222.856000,185055.624000,1.882664,11.257935
187.718001,2220692.706000,2220688.962000,740229.480000,740229.336000,185057.244000,2.452611,10.590820
187.719001,2220712.074000,2220708.474000,740235.978000,740235.852000,185058.882000,2.016576,10.906982
187.720001,2220731.442000,2220727.968000,740242.494000,740242.350000,185060.502000,2.319920,11.427307
187.721001,2220750.810000,2220747.516000,740249.028000,740248.866000,185062.122000,2.030492,11.679382
187.722001,2220770.196000,2220767.046000,740255.526000,740255.364000,185063.742000,1.830907,13.096619
187.723001,2220789.564000,2220786.504000,740262.042000,740261.862000,185065.362000,2.337621,12.997742
187.724001,2220808.932000,2220806.016000,740268.540000,740268.378000,185067.000000,1.527562,13.010559
187.725001,2220828.318000,2220825.420000,740275.020000,740274.858000,185068.620000,1.754979,13.275452
187.726001,2220847.686000,2220844.806000,740281.500000,740281.320000,185070.240000,1.894017,13.278503
187.727001,2220867.054000,2220864.156000,740287.944000,740287.782000,185071.860000,1.851048,13.358459
187.728001,2220886.404000,2220883.470000,740294.388000,740294.226000,185073.480000,1.722142,13.077393
187.729001,2220905.772000,2220902.730000,740300.796000,740300.652000,185075.100000,2.131688,12.221985
187.730001,2220925.122000,2220921.990000,740307.204000,740307.078000,185076.702000,1.756322,11.452637
187.731001,2220944.490000,2220941.250000,740313.612000,740313.504000,185078.322000,2.137913,10.657959
187.732001,2220963.840000,2220960.546000,740320.020000,740319.912000,185079.942000,1.781590,9.470520
187.733001,2220983.190000,2220979.788000,740326.446000,740326.338000,185081.544000,2.024266,9.196167
187.734001,2221002.558000,2220999.102000,740332.872000,740332.782000,185083.164000,1.996434,8.560791
187.735001,2221021.926000,2221018.434000,740339.316000,740339.226000,185084.784000,2.087376,8.350220
187.736001,2221041.294000,2221037.802000,740345.778000,740345.670000,185086.386000,2.469090,8.078918
187.737001,2221060.680000,2221057.224000,740352.240000,740352.132000,185088.006000,2.079808,7.897034
187.738001,2221080.048000,2221076.682000,740358.720000,740358.612000,185089.608000,1.766454,9.531250
187.739001,2221099.434000,2221096.140000,740365.200000,740365.092000,185091.210000,2.026707,10.147095
187.740001,2221118.820000,2221115.598000,740371.698000,740371.590000,185092.830000,1.945897,11.088867
187.741001,2221138.206000,2221135.056000,740378.214000,740378.070000,185094.432000,2.011571,12.065735
187.742001,2221157.610000,2221154.514000,740384.694000,740384.568000,185096.052000,1.791722,12.186890
187.743001,2221176.978000,2221173.936000,740391.174000,740391.012000,185097.654000,1.977513,12.585754
187.744001,2221196.364000,2221193.286000,740397.636000,740397.474000,185099.256000,2.221410,12.987976
187.745001,2221215.732000,2221212.654000,740404.098000,740403.936000,185100.876000,1.731053,13.297729
187.746001,2221235.100000,2221231.950000,740410.524000,740410.380000,185102.478000,2.124120,13.578491
187.747001,2221254.468000,2221251.228000,740416.950000,740416.806000,185104.080000,1.814427,13.508301
187.748001,2221273.818000,2221270.452000,740423.340000,740423.214000,185105.700000,2.074803,12.726440
187.749001,2221293.168000,2221289.730000,740429.766000,740429.640000,185107.302000,1.972386,12.429504
187.750001,2221312.536000,2221308.972000,740436.156000,740436.030000,185108.922000,2.179662,11.270752
187.751001,2221331.886000,2221328.214000,740442.564000,740442.438000,185110.524000,2.663670,10.259094
187.752001,2221351.236000,2221347.510000,740448.990000,740448.882000,185112.126000,2.384373,10.265198
187.753001,2221370.586000,2221366.878000,740455.434000,740455.344000,185113.746000,1.921849,9.741821
187.754001,2221389.954000,2221386.228000,740461.896000,740461.788000,185115.348000,2.479222,10.383301
187.755001,2221409.322000,2221405.632000,740468.358000,740468.232000,185116.950000,1.920628,10.220642
187.756001,2221428.690000,2221425.036000,740474.838000,740474.712000,185118.570000,2.330052,11.072998
187.757001,2221448.058000,2221444.494000,740481.318000,740481.174000,185120.172000,2.264378,12.678528
187.758001,2221467.426000,2221463.952000,740487.816000,740487.636000,185121.774000,2.241551,12.637024
187.759001,2221486.794000,2221483.392000,740494.296000,740494.134000,185123.394000,1.925633,12.965698
187.760001,2221506.162000,2221502.796000,740500.776000,740500.614000,185125.014000,1.902928,13.524170
187.761001,2221525.530000,2221522.200000,740507.256000,740507.076000,185126.616000,2.053319,13.833923
187.762001,2221544.880000,2221541.550000,740513.718000,740513.520000,185128.236000,2.045750,14.207458
187.763001,2221564.230000,2221560.882000,740520.162000,740519.982000,185129.838000,2.093724,14.306335
187.764001,2221583.580000,2221580.178000,740526.606000,740526.408000,185131.458000,2.260594,14.545593
187.765001,2221602.930000,2221599.456000,740533.014000,740532.834000,185133.078000,2.336400,13.990479
187.766001,2221622.280000,2221618.752000,740539.440000,740539.278000,185134.698000,1.828343,13.297729
187.767001,2221641.612000,2221638.012000,740545.848000,740545.704000,185136.300000,2.081151,13.259277
187.768001,2221660.962000,2221657.308000,740552.274000,740552.130000,185137.920000,1.969823,11.972961
187.769001,2221680.312000,2221676.586000,740558.700000,740558.556000,185139.540000,2.705418,10.737610
187.770001,2221699.662000,2221695.936000,740565.144000,740565.000000,185141.160000,2.026707,10.176086
187.771001,2221719.012000,2221715.286000,740571.588000,740571.480000,185142.780000,2.417332,9.722595
187.772001,2221738.362000,2221734.726000,740578.068000,740577.942000,185144.418000,2.004002,9.004517
187.773001,2221757.748000,2221754.130000,740584.548000,740584.440000,185146.038000,2.365453,8.934326
187.774001,2221777.116000,2221773.642000,740591.046000,740590.938000,185147.658000,2.120213,9.020386
187.775001,2221796.502000,2221793.172000,740597.562000,740597.436000,185149.278000,1.866185,9.879150
187.776001,2221815.888000,2221812.720000,740604.096000,740603.934000,185150.898000,1.992650,10.239868
