time,motor setpoint,motor real,propeller setpoint,propeller real
117.881159,0.000000,2.546600,0.000000,-0.023800
117.882172,0.000000,2.475200,0.000000,-0.011900
117.883170,0.000000,2.677500,0.000000,0.047600
117.884173,0.000000,2.677500,0.000000,0.047600
117.885170,0.000000,2.629900,0.000000,-0.011900
117.886170,0.000000,2.701300,0.000000,0.000000
117.887166,0.000000,2.808400,0.000000,-0.047600
117.888169,0.000000,2.808400,0.000000,-0.047600
117.889172,0.000000,2.701300,0.000000,0.011900
117.890173,0.000000,2.832200,0.000000,0.047600
117.891173,0.000000,2.832200,0.000000,0.023800
117.892173,0.000000,2.737000,0.000000,0.023800
117.893173,0.000000,2.760800,0.000000,-0.023800
117.894173,0.000000,2.796500,0.000000,-0.023800
117.895171,0.000000,2.570400,0.000000,0.023800
117.896173,0.000000,2.772700,0.000000,-0.023800
117.897171,0.000000,2.998800,0.000000,0.023800
117.898163,0.000000,2.998800,0.000000,0.023800
117.899160,0.000000,2.796500,0.000000,-0.011900
117.900158,0.000000,2.832200,0.000000,0.023800
117.901160,0.000000,3.010700,0.000000,0.011900
117.902159,0.000000,2.844100,0.000000,-0.011900
117.903158,0.000000,2.820300,0.000000,0.000000
117.904156,0.000000,2.939300,0.000000,0.000000
117.905156,0.000000,3.058300,0.000000,0.000000
117.906161,0.000000,2.772700,0.000000,0.000000
117.907159,0.000000,2.737000,0.000000,0.000000
117.908153,0.000000,2.998800,0.000000,0.035700
117.909154,0.000000,2.867900,0.000000,-0.023800
117.910151,0.000000,2.725100,0.000000,-0.047600
117.911156,0.000000,2.820300,0.000000,0.011900
117.912153,0.000000,2.665600,0.000000,-0.011900
117.913153,0.000000,2.534700,0.000000,0.000000
117.914152,0.000000,2.427600,0.000000,0.011900
117.915153,0.000000,2.594200,0.000000,0.023800
117.916153,0.000000,2.522800,0.000000,0.000000
117.917152,0.000000,2.439500,0.000000,-0.011900
117.918152,0.000000,2.546600,0.000000,-0.023800
117.919152,0.000000,2.546600,0.000000,0.011900
117.920153,0.000000,2.475200,0.000000,0.011900
117.921154,0.000000,2.725100,0.000000,0.011900
117.922152,0.000000,2.689400,0.000000,-0.035700
117.923153,0.000000,2.606100,0.000000,0.000000
117.924152,0.000000,2.629900,0.000000,-0.023800
117.925152,0.000000,2.713200,0.000000,0.000000
117.926153,0.000000,2.641800,0.000000,0.047600
117.927152,0.000000,2.784600,0.000000,0.000000
117.928154,0.000000,2.820300,0.000000,0.000000
117.929152,0.000000,2.582300,0.000000,0.000000
117.930154,0.000000,2.606100,0.000000,-0.011900
117.931155,0.000000,2.689400,0.000000,0.023800
117.932158,0.000000,2.558500,0.000000,0.000000
117.933159,0.000000,2.451400,0.000000,0.011900
117.934158,0.000000,2.629900,0.000000,-0.011900
117.935155,0.000000,2.677500,0.000000,-0.011900
117.936159,0.000000,2.582300,0.000000,-0.023800
117.937155,0.000000,2.606100,0.000000,0.000000
117.938158,0.000000,2.737000,0.000000,-0.023800
117.939158,0.000000,2.737000,0.000000,0.023800
117.940157,0.000000,2.677500,0.000000,0.023800
117.941161,0.000000,2.975000,0.000000,0.011900
117.942158,0.000000,2.844100,0.000000,0.011900
117.943158,0.000000,2.713200,0.000000,0.023800
117.944159,0.000000,2.725100,0.000000,0.011900
117.945158,0.000000,2.915500,0.000000,0.035700
117.946158,0.000000,2.820300,0.000000,0.000000
117.947157,0.000000,2.867900,0.000000,-0.023800
117.948158,0.000000,2.986900,0.000000,0.011900
117.949159,0.000000,2.772700,0.000000,-0.011900
117.950158,0.000000,2.641800,0.000000,-0.023800
117.951158,0.000000,2.844100,0.000000,0.035700
117.952159,0.000000,2.772700,0.000000,-0.035700
117.953158,0.000000,2.677500,0.000000,-0.059500
117.954159,0.000000,2.760800,0.000000,-0.011900
117.955159,0.000000,2.713200,0.000000,-0.011900
117.956158,0.000000,2.641800,0.000000,0.023800
117.957160,0.000000,2.701300,0.000000,0.023800
117.958158,0.000000,2.939300,0.000000,-0.011900
117.959157,0.000000,2.725100,0.000000,0.011900
117.960159,0.000000,2.737000,0.000000,0.000000
117.961157,0.000000,2.796500,0.000000,-0.011900
117.962158,0.000000,2.701300,0.000000,-0.023800
117.963158,0.000000,2.570400,0.000000,0.035700
117.964158,0.000000,2.689400,0.000000,0.000000
117.965159,0.000000,2.867900,0.000000,0.023800
117.966159,0.000000,2.606100,0.000000,-0.047600
117.967159,0.000000,2.570400,0.000000,-0.035700
117.968158,0.000000,2.677500,0.000000,0.023800
117.969157,0.000000,2.499000,0.000000,0.023800
117.970158,0.000000,2.403800,0.000000,0.071400
117.971159,0.000000,2.582300,0.000000,-0.011900
117.972159,0.000000,2.522800,0.000000,-0.023800
117.973158,0.000000,2.475200,0.000000,-0.023800
117.974159,0.000000,2.487100,0.000000,-0.011900
117.975159,0.000000,2.618000,0.000000,0.023800
117.976159,0.000000,2.677500,0.000000,0.023800
117.977157,0.000000,2.725100,0.000000,-0.023800
117.978157,0.000000,2.903600,0.000000,0.000000
117.979158,0.000000,2.725100,0.000000,0.000000
117.980158,0.000000,2.748900,0.000000,-0.011900
117.981157,0.000000,2.760800,0.000000,-0.035700
117.982159,0.000000,2.772700,0.000000,0.023800
117.983158,0.000000,2.772700,0.000000,-0.023800
117.984159,0.000000,2.879800,0.000000,0.035700
117.985158,0.000000,2.856000,0.000000,0.011900
117.986158,0.000000,2.665600,0.000000,-0.011900
117.987159,0.000000,2.606100,0.000000,0.011900
117.988162,0.000000,2.796500,0.000000,0.023800
117.989158,0.000000,2.570400,0.000000,-0.047600
117.990159,0.000000,2.570400,0.000000,0.000000
117.991160,0.000000,2.772700,0.000000,-0.011900
117.992159,0.000000,2.641800,0.000000,0.000000
117.993158,0.000000,2.570400,0.000000,0.059500
117.994158,0.000000,2.784600,0.000000,0.023800
117.995159,0.000000,2.760800,0.000000,-0.035700
117.996156,0.000000,2.629900,0.000000,-0.035700
117.997159,0.000000,2.737000,0.000000,-0.011900
117.998158,0.000000,2.832200,0.000000,0.047600
117.999158,0.000000,2.653700,0.000000,0.011900
118.000158,0.000000,2.582300,0.000000,0.047600
